id,author,type,topic,content,video,videolink,communities,tags,imgname1,caption1,link1,imgname2,caption2,link2,color,colorcode
18,SDP,pullquote,Shortcomings of smart city policies,"Smart City, it does not helps our community members, the Smart City concepts makes our community more vulnerable.",no,no,"sex workers, sexual minorities","technosolutionism, exclusion",no,no,no,no,no,no,green,#7dba47
19,SDP,pullquote,Challenges faced by stakeholders,"The trans communities are not begging because of lockdown and they can't do sex work also, so they suffered a lot.",no,no,"sex workers, sexual minorities",discrimination,no,no,no,no,no,no,green,#7dba47
20,LL,pullquote,Challenges faced by stakeholders,"It was horrible to see the complete loss of livelihood - for many of them the discrimination that they faced while going to work, plus 50 to 55 year old women who are senior citizens and domestic workers were left out of work or were told not to come back plus 90% of workers did not get their salary for the month of April.",no,no,"domestic workers, senior citzens",discrimination,no,no,no,no,no,no,red,#ef1a4c
2,KOL,paragraph,Challenges faced by stakeholders,"We partnered for a project that works with adolescent girls in Bangalore schools - there is a big problem where parents of the school-going children were in very dire crisis because livelihoods were lost. There’s an imminent threat that because school is closed, no money, there’s a lot of things that can add up, which could dangerously push somebody towards a dropout - we need to avoid those scenarios. ",no,no,schoolchildren,"surveillance, technosolutionism",no,no,no,no,no,no,pink,#ea62d8
3,KOL,paragraph,Covid-19 technologies,"...looking at contact tracing, for example, or other kinds of like health data management - that as a learning was immense - what was happening tells us more what should we really be looking for in terms of privacy: for example, if we look at a very simple thing like contact tracing, now all of these are technically in violation of many state laws. They do threaten privacy, they do tend to have an overreach on citizen rights in many ways but most governments do have these laws that are about extraordinary times, and pandemics are extraordinary times when they can take these measures. So, that’s kind of an allowed thing, it’s not like there’s anything wrong with that, but the way that it pans out is very problematic. One thing that a lot of people have been worrying about is that it’s very likely that the shifts that we see like this, could lead to an increasing normalisation of surveillance.",no,no,general,"surveillance, technosolutionism",no,no,no,no,no,no,pink,#ea62d8
4,SP,paragraph,"
Mobility challenges created by the lockdown",The challenges were the difficulties faced in mobility due to the lockdown - there used to be some official vehicles and sometimes even people holding valid passes - BBMP issues certificates but the police won’t always accept it as the police also issues certificates and the police doesn’t issue certificates to everyone so you know there was a command failure at the government level at the administration level with regards to the validity of the certificates.,no,no,general,mobility,img-general-1,Page (1/2) Circular issued by the GoK informing the commencement of a pass system to regulate the movement of people,https://covid-india.in/,img-general-2,Page (2/2) Circular issued by the GoK informing the commencement of a pass system to regulate the movement of people,https://covid-india.in/,yellow,#eacb4f
5,SP,image1,"
Mobility challenges created by the lockdown",The challenges were the difficulties faced in mobility due to the lockdown - there used to be some official vehicles and sometimes even people holding valid passes - BBMP issues certificates but the police won’t always accept it as the police also issues certificates and the police doesn’t issue certificates to everyone so you know there was a command failure at the government level at the administration level with regards to the validity of the certificates.,no,no,general,mobility,img-general-1,Page (1/2)  Circular issued by the GoK informing the commencement of a pass system to regulate the movement of people,https://covid-india.in/,img-general-2,Page (2/2) Circular issued by the GoK informing the commencement of a pass system to regulate the movement of people,https://covid-india.in/,yellow,#eacb4f
6,SP,image2,"
Mobility challenges created by the lockdown",The challenges were the difficulties faced in mobility due to the lockdown - there used to be some official vehicles and sometimes even people holding valid passes - BBMP issues certificates but the police won’t always accept it as the police also issues certificates and the police doesn’t issue certificates to everyone so you know there was a command failure at the government level at the administration level with regards to the validity of the certificates.,no,no,general,mobility,img-general-1,Page (1/2)  Circular issued by the GoK informing the commencement of a pass system to regulate the movement of people,https://covid-india.in/,img-general-2,Page (2/2) Circular issued by the GoK informing the commencement of a pass system to regulate the movement of people,https://covid-india.in/,yellow,#eacb4f
7,LP,pullquote,Gaps in government data,We thought somebody in the government would be keeping record of people dying through migration or walking home or hunger but at some point we learned that they were not doing it and that itself was a major shock.,no,no,general,data,img-general-3,Infographic showing deaths due to lockdown in India as of 4 July 2020,https://thej.in/go/lockdown,no,no,no,orange,#ea7e4f
8,LP,image1,Gaps in government data,We thought somebody in the government would be keeping record of people dying through migration or walking home or hunger but at some point we learned that they were not doing it and that itself was a major shock.,no,no,general,data,img-general-3,Infographic showing deaths due to lockdown in India as of 4 July 2020,https://thej.in/go/lockdown,no,no,no,orange,#ea7e4f
9,GH,pullquote,Relief efforts,"We worked with around 12,000 families of waste pickers - we gave ration for two months, and after that citizens approached us and asked us to help -approximately 50,000 families got rations for one or two months. Then we specifically worked with identifying people who have comorbidity who are on regular medication for pregnant women or children so we serviced them also. We knew this will happen so we started early. ",no,no,waste pickers,relief efforts,img-wastepickers-1,Relief being distributed to memebers of the waste worker community,https://hasirudala.in/initiatives/covid-19/,no,no,no,purple,#9b42f4
10,GH,image1,Relief efforts,"We worked with around 12,000 families of waste pickers - we gave ration for two months, and after that citizens approached us and asked us to help -approximately 50,000 families got rations for one or two months. Then we specifically worked with identifying people who have comorbidity who are on regular medication for pregnant women or children so we serviced them also. We knew this will happen so we started early. ",no,no,waste pickers,relief efforts,img-wastepickers-1,Relief being distributed to memebers of the waste worker community,https://hasirudala.in/initiatives/covid-19/,no,no,no,purple,#9b42f4
11,LL,video,Gendering COVID19 in India,https://www.youtube.com/watch?v=EGkEL1atdhc&feature=youtu.be,yes,https://www.youtube.com/watch?v=EGkEL1atdhc&feature=youtu.be,"domestic workers, sexual minorities, schoolchildren","relief efforts, technosolutionism",no,no,no,no,no,no,red,#ef1a4c
12,LL,pullquote,Relief efforts,"We have a group of around 85 senior citizen domestic workers, and we have adopted a granny initiative so we try to provide some food grains, rations and medical help to them as they are the worst affected now. If you are above 65, you are asked not to come to work and when that happens, you’re left with nothing - you know you have no other skill, you are at an age where you cannot do too much of work and then where will you get to work? ",no,no,"domestic workers, senior citizens","relief efforts, health",no,no,no,no,no,no,red,#ef1a4c
13,GH,paragraph,Data driven distribution,"One of the things that the community was very happy we were doing was not only because of the food they got, but because we were able to customisation the kind of food we gave to pregnant women, small children, because we had the data. Where we did not have the data we gave people the standard ration. So I think knowing who are in the city what they eat for eg: even regular ration also were customised. People from Orissa and Bengal we gave certain kind of rice and Dal; people from North Karnataka we gave different food and then for people from Rajasthan we gave wheat flour - and people from South we gave a different kind of rice and Dal - we were able to customise to that extent because we knew the population rate. ",no,no,"pregnant women, children","relief efforts, data",img-pregnantwomen-1,Pregnant women standing in a queue,https://www.thenewleam.com/2020/06/women-enter-dark-pregnancy-den-amid-covid-19-pandemic-in-india/,no,no,no,purple,#9b42f4
14,GH,image1,Data driven distribution,"One of the things that the community was very happy we were doing was not only because of the food they got, but because we were able to customisation the kind of food we gave to pregnant women, small children, because we had the data. Where we did not have the data we gave people the standard ration. So I think knowing who are in the city what they eat for eg: even regular ration also were customised. People from Orissa and Bengal we gave certain kind of rice and Dal; people from North Karnataka we gave different food and then for people from Rajasthan we gave wheat flour - and people from South we gave a different kind of rice and Dal - we were able to customise to that extent because we knew the population rate. ",no,no,"pregnant women, children","relief efforts, data",img-pregnantwomen-1,Pregnant women standing in a queue,https://www.thenewleam.com/2020/06/women-enter-dark-pregnancy-den-amid-covid-19-pandemic-in-india/,no,no,no,purple,#9b42f4
